industry_tag,close_on_election_day,close_on_first_tariff,pct_change_election_to_tariff,close_on_final_day,pct_change_tariff_to_final,pct_change_election_to_final
financial services,77.63999939,90.81999969,16.98,NULL,NULL,NULL
cryptocurrency,254.3099976,291.3299866,14.56,176.5800018,-39.39,-30.57
aviation,46.85499954,48.98999786,4.56,32.929999355,-32.78,-29.72
fitness,7.929999828,7.75,-2.27,5.699999809,-26.45,-28.12
logistics,280.0599976,264.8699951,-5.42,210.4499969,-20.55,-24.86
social media,33.75999832,32.95999908,-2.37,25.85000038,-21.57,-23.43
apparel,63.3975005025,64.00999879999999,0.97,50.7059998525,-20.78,-20.02
footwear,63.64499857,61.059999469999994,-4.06,51.080001355,-16.34,-19.74
hospitality,221.20000206666668,225.94333393333332,2.14,182.28000386666668,-19.32,-17.59
technology,173.13538316692308,170.76384771769233,-1.37,143.67846299384615,-15.86,-17.01
luxury goods,129.2200012,145.6600037,12.72,113.7099991,-21.93,-12
e-commerce,144.504997235,177.2399979,22.65,132.44499587,-25.27,-8.35
automotive,113.77799945339999,141.749999383,24.58,106.7860005378,-24.67,-6.15
food & beverage,112.20000329666665,106.80333328,-4.81,109.41333263666667,2.44,-2.48
finance,342.687500025,370.494995125,8.11,334.4350052,-9.73,-2.41
healthcare,157.8800049,152.1499939,-3.63,154.3600006,1.45,-2.23
retail,364.3699970225,388.49250509,6.62,363.8025054875,-6.36,-0.16
manufacturing,133.9199982,152.1999969,13.65,136.0099945,-10.64,1.56
food,175.844999315,173.525005335,-1.32,182.76500319,5.32,3.94
consumer goods,103.51333492666667,103.35666784,-0.15,108.78333664666665,5.25,5.09
gaming,23.033333858333332,29.896666683666666,29.8,25.726666370666663,-13.95,11.69
entertainment,439.55001069499997,544.9100037000001,23.97,507.97001648,-6.78,15.57
music,391.1600037,548.5499878,40.24,549.1699829,0.11,40.4
