ticker,brand_name,close_on_election_day,close_on_first_tariff,pct_change_election_to_tariff,close_on_final_day,pct_change_tariff_to_final,pct_change_election_to_final
SQ,block,77.63999939,90.81999969,16.98,NULL,NULL,NULL
FL,foot locker,24.54999924,20.04999924,-18.33,11.35999966,-43.34,-53.73
PMMAF,puma,44.59000015,31.85000038,-28.57,22.69400024,-28.75,-49.11
AEO,american eagle outfitters,19.05999947,16.13999939,-15.32,10.64999962,-34.01,-44.12
TGT,target,147.2899933,137.9100037,-6.37,94.65000153,-31.37,-35.74
DAL,delta air lines,62.31999969,67.26999664,7.94,40.29999924,-40.09,-35.33
AMD,amd,145.1000061,115.9499969,-20.09,94.5,-18.5,-34.87
ZI,zoominfo,11.84000015,10.28999996,-13.09,8,-22.25,-32.43
COIN,coinbase,254.3099976,291.3299866,14.56,176.5800018,-39.39,-30.57
ADBE,adobe,504.8299866,437.4500122,-13.35,350.9100037,-19.78,-30.49
UBSFY,ubisoft,2.859999895,2.269999981,-20.63,2.049999952,-9.69,-28.32
PTON,peloton,7.929999828,7.75,-2.27,5.699999809,-26.45,-28.12
NKE,nike,75.31999969,76.90000153,2.1,55.40999985,-27.95,-26.43
FDX,fedex,280.0599976,264.8699951,-5.42,210.4499969,-20.55,-24.86
NVDA,nvidia,145.6100006,120.0699997,-17.54,110.7099991,-7.8,-23.97
PINS,pinterest,33.75999832,32.95999908,-2.37,25.85000038,-21.57,-23.43
ABNB,airbnb,140.9100037,131.1699982,-6.91,113.2200012,-13.68,-19.65
MAR,marriott,276.2600098,290.5899963,5.19,223.4900055,-23.09,-19.1
LUV,southwest airlines,31.38999939,30.70999908,-2.17,25.55999947,-16.77,-18.57
CRM,salesforce / slack,306.8999939,341.7000122,11.34,254.5500031,-25.5,-17.06
HLT,hilton,246.4299927,256.0700073,3.91,210.1300049,-17.94,-14.73
DIS,the walt disney company,98.88999939,113.0599976,14.33,84.66000366,-25.12,-14.39
CMG,chipotle,57.68999863,58.34999847,1.14,49.45999908,-15.24,-14.27
AXP,american express,295.1600037,317.4500122,7.55,255.3800049,-19.55,-13.48
TSLA,tesla,288.5299988,404.6000061,40.23,252.3500061,-37.63,-12.54
AMZN,amazon,207.0899963,237.6799927,14.77,182.1199951,-23.38,-12.06
LVMUY,lvmh,129.2200012,145.6600037,12.72,113.7099991,-21.93,-12
CROX,crocs,102.7399979,102.0699997,-0.65,90.80000305,-11.04,-11.62
SBUX,starbucks,96.08000183,107.6800003,12.07,85.48999786,-20.61,-11.02
PHG,philips,26.53000069,27.57999992,3.96,23.79000092,-13.74,-10.33
GOOGL,google,176.5099945,204.0200043,15.59,159.0700073,-22.03,-9.88
ZM,zoom video communications,79.69000244,86.94000244,9.1,71.98000336,-17.21,-9.67
AAPL,apple,222.7200012,236,5.96,202.5200043,-14.19,-9.07
HD,the home depot,388.3699951,411.980011,6.08,357.2000122,-13.3,-8.03
MSFT,microsoft,420.1799927,415.0599976,-1.22,387.8099976,-6.57,-7.7
LOGI,logitech,78.62000275,97.41999817,23.91,73.47000122,-24.58,-6.55
POAHY,porsche,3.930000067,3.890000105,-1.02,3.730000019,-4.11,-5.09
JPM,jpmorgan chase & co,247.0599976,267.2999878,8.19,234.7200012,-12.19,-4.99
HSY,hershey company,176.8200073,149.25,-15.59,170.3000031,14.1,-3.69
JNJ,johnson & johnson,157.8800049,152.1499939,-3.63,154.3600006,1.45,-2.23
TM,toyota,175.1499939,188.9299927,7.87,172,-8.96,-1.8
UBER,uber,74.36000061,66.84999847,-10.1,73.09999847,9.35,-1.69
MA,mastercard,521.1300049,555.4299927,6.58,512.460022,-7.74,-1.66
CSCO,cisco,57.86999893,60.59999847,4.72,57.40999985,-5.26,-0.79
ADDYY,adidas,114.6200027,131.1499939,14.42,114.0699997,-13.02,-0.48
HMC,honda,27.87000084,28.34000015,1.69,28.14999962,-0.67,1
SHOP,shopify,81.91999817,116.8000031,42.58,82.76999664,-29.14,1.04
MMM,3m,133.9199982,152.1999969,13.65,136.0099945,-10.64,1.56
UL,unilever,59.27000046,57.38000107,-3.19,62.24000168,8.47,5.01
PG,procter & gamble,161.0500031,165.9900055,3.07,169.1300049,1.89,5.02
CL,colgate palmolive,90.22000122,86.69999695,-3.9,94.98000336,9.55,5.28
BAMXF,bmw group,73.41000366,82.98999786,13.05,77.69999695,-6.37,5.84
JWN,nordstrom,22.56999969,24.20000076,7.22,24.04000092,-0.66,6.51
MCD,mcdonald's,294,288.7000122,-1.8,316.0700073,9.48,7.51
RBLX,roblox,52.90000153,71.06999969,34.35,56.90999985,-19.92,7.58
COST,costco,899.25,979.8800049,8.97,979.3200073,-0.06,8.9
V,visa,307.3999939,341.7999878,11.19,335.1799927,-1.94,9.04
KO,the coca-cola company,63.70000076,63.47999954,-0.35,72.44999695,14.13,13.74
NFLX,netflix,780.210022,976.7600098,25.19,931.2800293,-4.66,19.36
NTDOY,nintendo,13.34000015,16.35000038,22.56,18.21999931,11.44,36.58
SPOT,spotify,391.1600037,548.5499878,40.24,549.1699829,0.11,40.4
